,first_name,second_name,id,unique
0,Petr,Cech,1,2001
1,Bernd,Leno,2,2002
2,Laurent,Koscielny,3,2003
3,Héctor,Bellerín,4,2004
4,Nacho,Monreal,5,2005
5,Rob,Holding,6,2006
6,Shkodran,Mustafi,7,2007
7,Sead,Kolasinac,8,2008
8,Konstantinos,Mavropanos,10,2010
9,Stephan,Lichtsteiner,11,2011
10,Sokratis,Papastathopoulos,12,2012
11,Mesut,Özil,13,2013
12,Aaron,Ramsey,14,2014
13,Alex,Iwobi,15,2015
14,Mohamed,Elneny,16,2016
15,Granit,Xhaka,17,2017
16,Henrikh,Mkhitaryan,18,2018
17,Reiss,Nelson,19,2019
18,Ainsley,Maitland-Niles,20,2020
19,Danny,Welbeck,21,2021
20,Alexandre,Lacazette,22,2022
21,Pierre-Emerick,Aubameyang,23,2023
22,Lucas,Torreira,450,2450
23,Matteo,Guendouzi,451,2451
24,Emiliano,Martínez,542,2542
25,Emile,Smith-Rowe,545,2545
26,Zech,Medley,546,2546
27,Edward,Nketiah,552,2552
28,Bukayo,Saka,563,2563
29,Joseph,Willock,566,2566
30,Carl,Jenkinson,581,2581
31,Denis,Suárez,586,2586
32,Asmir,Begovic,24,2024
33,Artur,Boruc,25,2025
34,Simon,Francis,26,2026
35,Steve,Cook,27,2027
36,Charlie,Daniels,28,2028
37,Adam,Smith,29,2029
38,Tyrone,Mings,30,2030
39,Nathan,Aké,31,2031
40,Jack,Simpson,32,2032
41,Marc,Pugh,34,2034
42,Andrew,Surman,35,2035
43,Junior,Stanislas,36,2036
44,Dan,Gosling,37,2037
45,Jordon,Ibe,38,2038
46,Lewis,Cook,39,2039
47,Ryan,Fraser,40,2040
48,Emerson,Hyndman,41,2041
49,David,Brooks,42,2042
50,Callum,Wilson,43,2043
51,Lys,Mousset,44,2044
52,Joshua,King,45,2045
53,Jermain,Defoe,46,2046
54,Nathaniel,Clyne,241,2241
55,Dominic,Solanke,259,2259
56,Diego,Rico,473,2473
57,Jefferson,Lerma,494,2494
58,Chris,Mepham,580,2580
59,Sam,Surridge,599,2599
60,Kyle,Taylor,600,2600
61,Nnamdi,Ofoborh,613,2613
62,Mark,Travers,616,2616
63,Matt,Butcher,620,2620
64,Mathew,Ryan,47,2047
65,Lewis,Dunk,48,2048
66,Shane,Duffy,49,2049
67,Bruno,Saltor Grau,50,2050
68,Gaëtan,Bong,51,2051
69,Markus,Suttner,52,2052
70,Ezequiel,Schelotto,53,2053
71,Leon,Balogun,54,2054
72,Anthony,Knockaert,55,2055
73,Dale,Stephens,56,2056
74,Beram,Kayal,57,2057
75,Solomon,March,58,2058
76,Pascal,Groß,59,2059
77,Davy,Pröpper,60,2060
78,José Heriberto,Izquierdo Mena,61,2061
79,Glenn,Murray,62,2062
80,Tomer,Hemed,63,2063
81,Sam,Baldock,64,2064
82,Jürgen,Locadia,65,2065
83,Florin,Andone,66,2066
84,David,Button,179,2179
85,Jason,Steele,439,2439
86,Bernardo,Fernandes da Silva Junior,440,2440
87,Yves,Bissouma,466,2466
88,Alireza,Jahanbakhsh,476,2476
89,Martín,Montoya,503,2503
90,Viktor,Gyokeres,551,2551
91,Ben,White,559,2559
92,Max,Sanders,572,2572
93,Dan,Burn,582,2582
94,Jayson,Molumby,617,2617
95,Tom,Heaton,67,2067
96,Nick,Pope,68,2068
97,Matthew,Lowton,69,2069
98,Ben,Mee,70,2070
99,Stephen,Ward,71,2071
100,James,Tarkowski,72,2072
101,Kevin,Long,73,2073
102,Charlie,Taylor,74,2074
103,Phil,Bardsley,75,2075
104,Johann Berg,Gudmundsson,76,2076
105,Steven,Defour,77,2077
106,Jeff,Hendrick,78,2078
107,Robbie,Brady,79,2079
108,Ashley,Westwood,80,2080
109,Jonathan,Walters,81,2081
110,Jack,Cork,82,2082
111,Aaron,Lennon,83,2083
112,Sam,Vokes,84,2084
113,Ashley,Barnes,85,2085
114,Nahki,Wells,86,2086
115,Chris,Wood,87,2087
116,Anders,Lindegaard,485,2485
117,Joe,Hart,490,2490
118,Ben,Gibson,491,2491
119,Matej,Vydra,495,2495
120,Dwight,McNeil,534,2534
121,Abd-Al-Ali Morakinyo Olaposi,Koiki,564,2564
122,Josh,Benson,583,2583
123,Peter,Crouch,590,2590
124,Anthony,Driscoll-Glennon,615,2615
125,Harry,Arter,33,2033
126,Neil,Etheridge,88,2088
127,Alex,Smithies,89,2089
128,Sean,Morrison,90,2090
129,Sol,Bamba,91,2091
130,Bruno,Ecuele Manga,92,2092
131,Matthew,Connolly,93,2093
132,Joe,Bennett,94,2094
133,Lee,Peltier,95,2095
134,Ashley Darel Jazz,Richards,96,2096
135,Greg,Halford,97,2097
136,Joe,Ralls,98,2098
137,David Junior,Hoilett,99,2099
138,Nathaniel,Mendez-Laing,100,2100
139,Callum,Paterson,101,2101
140,Aron,Gunnarsson,102,2102
141,Anthony,Pilkington,103,2103
142,Loïc,Damour,104,2104
143,Danny,Ward,105,2105
144,Josh,Murphy,106,2106
145,Kenneth,Zohore,107,2107
146,Omar,Bogle,108,2108
147,Gary,Madine,109,2109
148,Bobby,Reid,110,2110
149,Oumar,Niasse,176,2176
150,Greg,Cunninghamm,467,2467
151,Víctor,Camarasa,504,2504
152,Kadeem,Harris,535,2535
153,Brian,Murphy,537,2537
154,Rhys,Healey,573,2573
155,Leandro,Bacuna,589,2589
156,Thibaut,Courtois,111,2111
157,Willy,Caballero,112,2112
158,César,Azpilicueta,113,2113
159,Gary,Cahill,114,2114
160,Marcos,Alonso,115,2115
161,David,Luiz Moreira Marinho,116,2116
162,Victor,Moses,117,2117
163,Antonio,Rüdiger,118,2118
164,Andreas,Christensen,119,2119
165,Davide,Zappacosta,120,2120
166,Emerson,Palmieri dos Santos,121,2121
167,Eden,Hazard,122,2122
168,Cesc,Fàbregas,123,2123
169,Willian,Borges Da Silva,124,2124
170,Pedro,Rodríguez Ledesma,125,2125
171,N'Golo,Kanté,126,2126
172,Ross,Barkley,127,2127
173,Daniel,Drinkwater,128,2128
174,Tiemoué,Bakayoko,129,2129
175,Ethan,Ampadu,130,2130
176,Callum,Hudson-Odoi,131,2131
177,Ruben,Loftus-Cheek,132,2132
178,Olivier,Giroud,133,2133
179,Álvaro,Morata,134,2134
180,Jorge Luiz,Frello Filho,459,2459
181,Tammy,Abraham,496,2496
182,Kepa,Arrizabalaga,498,2498
183,Mateo,Kovacic,499,2499
184,Gonzalo,Higuaín,579,2579
185,Addji Keaninkin Marc-Israel,Guehi,624,2624
186,Wayne,Hennessey,135,2135
187,Julian,Speroni,136,2136
188,Vicente,Guaita,137,2137
189,James,Tomkins,138,2138
190,Scott,Dann,139,2139
191,Martin,Kelly,140,2140
192,Jeffrey,Schlupp,141,2141
193,Patrick,van Aanholt,142,2142
194,Mamadou,Sakho,143,2143
195,Jairo,Riedewald,144,2144
196,Aaron,Wan-Bissaka,145,2145
197,James,McArthur,147,2147
198,Bakary,Sako,148,2148
199,Andros,Townsend,149,2149
200,Luka,Milivojevic,150,2150
201,Wilfried,Zaha,151,2151
202,Christian,Benteke,152,2152
203,Alexander,Sørloth,153,2153
204,Cheikhou,Kouyaté,412,2412
205,Joel,Ward,441,2441
206,Jaroslaw,Jach,442,2442
207,Pape,Souaré,443,2443
208,Connor,Wickham,444,2444
209,Sullay,Kaikai,477,2477
210,Max,Meyer,486,2486
211,Jordan,Ayew,505,2505
212,Joe,Tupper,576,2576
213,Lucas,Perri,584,2584
214,Michy,Batshuayi,592,2592
215,Sam,Woods,609,2609
216,Luke,Dreher,618,2618
217,Nikola,Tavares,619,2619
218,Jordan,Pickford,154,2154
219,Maarten,Stekelenburg,155,2155
220,Leighton,Baines,156,2156
221,Seamus,Coleman,157,2157
222,Phil,Jagielka,158,2158
223,Ashley,Williams,159,2159
224,Mason,Holgate,160,2160
225,Jonjoe,Kenny,161,2161
226,Michael,Keane,162,2162
227,Cuco,Martina,163,2163
228,Theo,Walcott,164,2164
229,Yannick,Bolasie,165,2165
230,James,McCarthy,166,2166
231,Morgan,Schneiderlin,167,2167
232,Idrissa,Gueye,168,2168
233,Tom,Davies,169,2169
234,Ademola,Lookman,170,2170
235,Davy,Klaassen,171,2171
236,Gylfi,Sigurdsson,172,2172
237,Nikola,Vlasic,173,2173
238,Beni,Baningime,174,2174
239,Dominic,Calvert-Lewin,175,2175
240,Cenk,Tosun,177,2177
241,Richarlison,de Andrade,393,2393
242,Kevin,Mirallas,469,2469
243,Sandro,Ramírez,470,2470
244,Lucas,Digne,484,2484
245,Yerry,Mina,506,2506
246,Bernard,Anício Caldeira Duarte,507,2507
247,André Filipe,Tavares Gomes,508,2508
248,Kurt,Zouma,526,2526
249,Kieran,Dowell,528,2528
250,Tyias,Browning,532,2532
251,Calum,Chambers,9,2009
252,Marcus,Bettinelli,178,2178
253,Tim,Ream,180,2180
254,Denis,Odoi,181,2181
255,Tom,Cairney,182,2182
256,Kevin,McDonald,183,2183
257,Ryan,Sessegnon,184,2184
258,Stefan,Johansen,185,2185
259,Floyd,Ayité,186,2186
260,Neeskens,Kebano,187,2187
261,Rui Pedro,da Rocha Fonte,188,2188
262,Aboubakar,Kamara,189,2189
263,Maxime,Le Marchand,455,2455
264,Jean Michael,Seri,456,2456
265,Cyrus,Christie,460,2460
266,Fabricio,Agosto Ramírez,474,2474
267,André,Schürrle,478,2478
268,Aleksandar,Mitrovic,480,2480
269,Alfie,Mawson,487,2487
270,Sergio,Rico,509,2509
271,Joe,Bryan,510,2510
272,Timothy,Fosu-Mensah,511,2511
273,André-Frank,Zambo Anguissa,512,2512
274,Luciano,Vietto,513,2513
275,Ibrahima,Cissé,521,2521
276,Zeze Steven,Sessegnon,541,2541
277,Ryan,Babel,575,2575
278,Håvard,Nordtveit,593,2593
279,Lazar,Markovic,594,2594
280,Harvey,Elliott,610,2610
281,Luca,De La Torre,621,2621
282,Jason,Puncheon,146,2146
283,Ben,Hamer,190,2190
284,Jonas,Lössl,191,2191
285,Christopher,Schindler,192,2192
286,Chris,Löwe,193,2193
287,Tommy,Smith,194,2194
288,Mathias,Jorgensen,195,2195
289,Scott,Malone,196,2196
290,Florent,Hadergjonaj,197,2197
291,Terence,Kongolo,198,2198
292,Aaron,Mooy,199,2199
293,Rajiv,van La Parra,200,2200
294,Jonathan,Hogg,201,2201
295,Philip,Billing,202,2202
296,Tom,Ince,203,2203
297,Danny,Williams,204,2204
298,Abdelhamid,Sabiri,205,2205
299,Alex,Pritchard,206,2206
300,Ramadan,Sobhi,207,2207
301,Juninho,Bacuna,208,2208
302,Collin,Quaner,209,2209
303,Laurent,Depoitre,210,2210
304,Steve,Mounie,211,2211
305,Elias,Kachunga,212,2212
306,Erik,Durm,461,2461
307,Adama,Diakhaby,471,2471
308,Isaac,Mbenza,514,2514
309,Jon Gorenc,Stankovic,522,2522
310,Ryan,Schofield,533,2533
311,Karlan,Grant,585,2585
312,Joel,Coleman,598,2598
313,Demeaco,Duhaney,601,2601
314,Matthew,Daly,606,2606
315,Aaron,Rowe,607,2607
316,Kasper,Schmeichel,213,2213
317,Eldin,Jakupovic,214,2214
318,Wes,Morgan,215,2215
319,Christian,Fuchs,216,2216
320,Danny,Simpson,217,2217
321,Yohan,Benalouane,218,2218
322,Benjamin,Chilwell,219,2219
323,Harry,Maguire,220,2220
324,Ricardo Domingos,Barbosa Pereira,221,2221
325,Jonny,Evans,222,2222
326,Marc,Albrighton,224,2224
327,Demarai,Gray,225,2225
328,Daniel,Amartey,226,2226
329,Wilfred,Ndidi,227,2227
330,Vicente,Iborra,228,2228
331,Matty,James,229,2229
332,Hamza,Choudhury,230,2230
333,Adrien Sebastian,Perruchet Silva,231,2231
334,Fousseni,Diabaté,232,2232
335,James,Maddison,233,2233
336,Jamie,Vardy,234,2234
337,Shinji,Okazaki,235,2235
338,Kelechi,Iheanacho,236,2236
339,Danny,Ward,457,2457
340,Rachid,Ghezzal,492,2492
341,Filip,Benkovic,501,2501
342,Çaglar,Söyüncü,515,2515
343,Nampalys,Mendy,527,2527
344,Josh,Knight,558,2558
345,Harvey,Barnes,571,2571
346,Youri,Tielemans,591,2591
347,Simon,Mignolet,237,2237
348,Loris,Karius,238,2238
349,Dejan,Lovren,239,2239
350,Alberto,Moreno,240,2240
351,Joseph,Gomez,242,2242
352,Joel,Matip,243,2243
353,Ragnar,Klavan,244,2244
354,Trent,Alexander-Arnold,245,2245
355,Virgil,van Dijk,246,2246
356,Andrew,Robertson,247,2247
357,Alex,Oxlade-Chamberlain,248,2248
358,Jordan,Henderson,249,2249
359,Adam,Lallana,250,2250
360,Sadio,Mané,251,2251
361,Georginio,Wijnaldum,252,2252
362,Mohamed,Salah,253,2253
363,James,Milner,254,2254
364,Fabio Henrique,Tavares,255,2255
365,Naby,Keita,256,2256
366,Roberto,Firmino,257,2257
367,Xherdan,Shaqiri,462,2462
368,Alisson,Ramses Becker,468,2468
369,Daniel,Sturridge,472,2472
370,Divock,Origi,543,2543
371,Rafael,Camacho,557,2557
372,Curtis,Jones,597,2597
373,Riyad,Mahrez,223,2223
374,Ederson,Santana de Moraes,260,2260
375,Claudio,Bravo,261,2261
376,John,Stones,262,2262
377,Vincent,Kompany,263,2263
378,Nicolás,Otamendi,264,2264
379,Kyle,Walker,265,2265
380,Danilo Luiz,da Silva,266,2266
381,Benjamin,Mendy,267,2267
382,Aymeric,Laporte,268,2268
383,Fabian,Delph,269,2269
384,Raheem,Sterling,270,2270
385,David,Silva,271,2271
386,Fernando,Luiz Rosa,272,2272
387,Kevin,De Bruyne,273,2273
388,Ilkay,Gündogan,274,2274
389,Leroy,Sané,275,2275
390,Bernardo Mota,Veiga de Carvalho e Silva,276,2276
391,Phil,Foden,277,2277
392,Brahim,Diaz,278,2278
393,Oleksandr,Zinchenko,279,2279
