,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2017-08-12,Sat,Matchweek 1,Home,L 0–2,Brighton,Manchester City,N,FW,31,3,4,75.0,41,0,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
3,2017-09-09,Sat,Matchweek 4,Home,W 3–1,Brighton,West Brom,N,FW,8,3,5,60.0,34,0,1,2,50.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
8,2017-10-20,Fri,Matchweek 9,Away,W 3–0,Brighton,West Ham,Y,FW,90,11,25,44.0,142,44,7,10,70.0,3,8,37.5,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Match Report
10,2017-11-04,Sat,Matchweek 11,Away,W 1–0,Brighton,Swansea City,Y,FW,78,8,22,36.4,117,28,4,8,50.0,3,9,33.3,1,2,50.0,0,0.0,0.0,0,0,0,0,2,Match Report
11,2017-11-20,Mon,Matchweek 12,Home,D 2–2,Brighton,Stoke City,Y,FW,90,10,22,45.5,71,15,7,12,58.3,0,1,0.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
13,2017-11-28,Tue,Matchweek 14,Home,D 0–0,Brighton,Crystal Palace,Y,FW,84,11,24,45.8,135,16,8,15,53.3,3,4,75.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0,Match Report
17,2017-12-16,Sat,Matchweek 18,Home,D 0–0,Brighton,Burnley,Y,FW,62,5,9,55.6,50,23,3,5,60.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,Match Report
21,2018-01-01,Mon,Matchweek 22,Home,D 2–2,Brighton,Bournemouth,Y,FW,90,20,38,52.6,305,37,9,19,47.4,8,11,72.7,1,3,33.3,0,0.4,0.1,1,1,0,0,1,Match Report
23,2018-01-20,Sat,Matchweek 24,Home,L 0–4,Brighton,Chelsea,N,FW,23,6,9,66.7,93,7,2,3,66.7,3,3,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1,Match Report
25,2018-02-03,Sat,Matchweek 26,Home,W 3–1,Brighton,West Ham,Y,FW,71,18,29,62.1,219,35,10,16,62.5,4,5,80.0,1,2,50.0,0,0.0,0.0,1,2,0,0,1,Match Report
28,2018-03-04,Sun,Matchweek 29,Home,W 2–1,Brighton,Arsenal,Y,FW,90,15,28,53.6,224,37,7,13,53.8,6,8,75.0,1,1,100.0,0,0.1,0.1,1,1,0,0,3,Match Report
29,2018-03-10,Sat,Matchweek 30,Away,L 0–2,Brighton,Everton,Y,FW,76,6,20,30.0,91,27,2,9,22.2,2,7,28.6,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Match Report
30,2018-03-31,Sat,Matchweek 32,Home,L 0–2,Brighton,Leicester City,Y,FW,90,17,28,60.7,206,56,8,12,66.7,6,9,66.7,0,1,0.0,0,0.0,0.0,1,2,0,0,3,Match Report
31,2018-04-07,Sat,Matchweek 33,Home,D 1–1,Brighton,Huddersfield,Y,FW,66,20,37,54.1,196,50,10,18,55.6,5,12,41.7,0,2,0.0,0,0.5,0.3,1,3,1,0,2,Match Report
32,2018-04-14,Sat,Matchweek 34,Away,L 2–3,Brighton,Crystal Palace,Y,FW,90,12,23,52.2,188,18,4,11,36.4,6,10,60.0,1,1,100.0,0,0.0,0.1,1,0,0,0,2,Match Report
36,2018-05-09,Wed,Matchweek 31,Away,L 1–3,Brighton,Manchester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
37,2018-05-13,Sun,Matchweek 38,Away,L 0–4,Brighton,Liverpool,N,FW,34,4,11,36.4,48,22,4,6,66.7,0,3,0.0,0,1,0.0,0,0.0,0.0,0,0,1,0,1,Match Report
