,url_id,tag,fbref_name,key,first_name,second_name,id,full_name,keep
1119,e342ad68,Mohamed-Salah,Mohamed Salah Ghaly,0,Mohamed,Salah,233,Mohamed Salah,True
1854,7a2e46a8,Alisson,Alisson Becker,0,Alisson,Ramses Becker,231,Alisson Ramses Becker,True
2627,3bb7b8b4,Ederson,Ederson Moraes,0,Ederson,Santana de Moraes,257,Ederson Santana de Moraes,True
3471,774cf58b,Max-Aarons,Maximillian James Aarons,0,Max,Aarons,326,Max Aarons,True
4242,f2bf1b0f,Che-Adams,Che Zach Everton Fred Adams,0,Che,Adams,345,Che Adams,True
5268,a8c0acb7,Kristoffer-Ajer,Kristoffer Vassbakk Ajer,0,Kristoffer,Ajer,483,Kristoffer Ajer,True
6313,eaeca114,Nathan-Ake,Nathan Benjamin Aké,0,Nathan,Aké,258,Nathan Aké,True
6937,b827d5b3,Marc-Albrighton,Marc Kevin Albrighton,0,Marc,Albrighton,202,Marc Albrighton,True
7744,77e84962,Thiago-Alcantara,Thiago Alcántara do Nascimento,0,Thiago,Alcántara do Nascimento,225,Thiago Alcántara do Nascimento,True
8493,cd1acf9d,Trent-Alexander-Arnold,Trent John Alexander-Arnold,0,Trent,Alexander-Arnold,237,Trent Alexander-Arnold,True
9111,cc700722,Allan,Allan Marques Loureiro,0,Allan,Marques Loureiro,171,Allan Marques Loureiro,True
9860,cea4ee8f,Dele-Alli,Bamidele Jermaine Alli,0,Bamidele,Alli,363,Bamidele Alli,True
10813,862a1c15,Miguel-Almiron,Miguel Ángel Almirón Rejala,0,Miguel,Almirón,308,Miguel Almirón,True
11253,f4290206,Marcos-Alonso,Marcos Alonso Mendoza,0,Marcos,Alonso,122,Marcos Alonso,True
11934,ad1f61f3,Steven-Alzate,Steven Alzate,0,Steven,Alzate,73,Steven Alzate,True
12839,1a4ef233,Daniel-Amartey,Daniel Amartey,0,Daniel,Amartey,208,Daniel Amartey,True
13516,e34fc66d,Joachim-Andersen,Joachim Andersen,0,Joachim,Andersen,488,Joachim Andersen,True
14677,ac05f970,Michail-Antonio,Michail Gregory Antonio,0,Michail,Antonio,413,Michail Antonio,True
14815,05e8ca6d,Cameron-Archer,Cameron Archer,0,Cameron,Archer,568,Cameron Archer,True
16164,2f965a72,Alphonse-Areola,Alphonse Areola,0,Alphonse,Areola,489,Alphonse Areola,True
16783,68c720b5,Adam-Armstrong,Adam James Armstrong,0,Adam,Armstrong,525,Adam Armstrong,True
17503,97333cf5,Stuart-Armstrong,Stuart Armstrong,0,Stuart,Armstrong,339,Stuart Armstrong,True
17892,28d596a0,Kepa-Arrizabalaga,Kepa Arrizabalaga Revuelta,0,Kepa,Arrizabalaga,129,Kepa Arrizabalaga,True
19118,b391383a,Harrison-Ashby,Harrison Ashby,0,Harrison,Ashby,617,Harrison Ashby,True
19165,d5dd5f1f,Pierre-Emerick-Aubameyang,Pierre-Emerick Emiliano François Aubameyang,0,Pierre-Emerick,Aubameyang,4,Pierre-Emerick Aubameyang,True
20135,da052c14,Jordan-Ayew,Jordan Pierre Ayew,0,Jordan,Ayew,153,Jordan Ayew,True
20973,420d7c7d,Luke-Ayling,Luke David Ayling,0,Luke,Ayling,185,Luke Ayling,True
21568,53cad200,Cesar-Azpilicueta,César Azpilicueta Tanco,0,César,Azpilicueta,119,César Azpilicueta,True
22738,1c0eea98,Daniel-Bachmann,Daniel Bachmann,0,Daniel,Bachmann,389,Daniel Bachmann,True
22918,3a233281,Leon-Bailey,Leon Bailey,0,Leon,Bailey,492,Leon Bailey,True
24040,a1232f4e,Eric-Bailly,Eric Bertrand Bailly,0,Eric,Bailly,286,Eric Bailly,True
24349,31822f8c,Folarin-Balogun,Folarin Balogun,0,Folarin,Balogun,530,Folarin Balogun,True
25399,93feac6e,Patrick-Bamford,Patrick James Bamford,0,Patrick,Bamford,189,Patrick Bamford,True
25906,2886c9b5,Shandon-Baptiste,Shandon Harkeem Baptiste,0,Shandon,Baptiste,499,Shandon Baptiste,True
26732,3a24769f,Ross-Barkley,Ross Barkley,0,Ross,Barkley,124,Ross Barkley,True
27438,2691c772,Ashley-Barnes,Ashley Luke Barnes,0,Ashley,Barnes,105,Ashley Barnes,True
28323,3ea50f67,Harvey-Barnes,Harvey Barnes,0,Harvey,Barnes,215,Harvey Barnes,True
29109,cd4256d3,Lewis-Bate,Lewis Bate,0,Lewis,Bate,624,Lewis Bate,True
