,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2021-08-14,Sat,Matchweek 1,Away,L 1–5,Leeds United,Manchester Utd,N,FW,14,0,0,0,0,1,0,0,0,6,1,0,0,0.0,0.0,0.2,1,0,3,3,100.0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,22,1,100.0,1,1,100.0,1,1,100.0,0.0,1,0,2,1
1,2021-08-21,Sat,Matchweek 2,Home,D 2–2,Leeds United,Everton,N,AM,31,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.0,0,0,6,13,46.2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4,57.1,0,3,0.0,0,1,0.0,0.0,0,0,0,0
2,2021-08-29,Sun,Matchweek 3,Away,D 1–1,Leeds United,Burnley,N,AM,18,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,1,0,8,11,72.7,1,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,122,25,4,66.7,4,4,100.0,0,1,0.0,0.0,0,0,1,0
3,2021-09-12,Sun,Matchweek 4,Home,L 0–3,Leeds United,Liverpool,N,CM,45,0,0,0,0,2,1,0,0,23,2,0,1,0.3,0.3,0.0,1,0,13,16,81.3,3,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,196,25,9,81.8,4,4,100.0,0,1,0.0,0.0,0,1,0,0
4,2021-09-17,Fri,Matchweek 5,Away,D 1–1,Leeds United,Newcastle Utd,N,RM,30,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.1,2,0,10,16,62.5,1,16,0,2,1,2,0,0,0,0,0,0,0,0,0,0,117,45,7,100.0,2,4,50.0,0,3,0.0,0.0,2,2,0,0
5,2021-10-02,Sat,Matchweek 7,Home,W 1–0,Leeds United,Watford,N,CM,13,0,0,0,0,2,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,3,6,50.0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,56,4,2,100.0,0,1,0.0,1,1,100.0,0.0,0,0,0,0
6,2021-10-16,Sat,Matchweek 8,Away,L 0–1,Leeds United,Southampton,Y,"AM,FW",80,0,0,0,0,1,0,1,0,27,2,1,0,0.0,0.0,0.1,1,0,14,19,73.7,2,16,0,1,1,1,0,0,0,0,0,0,0,0,0,0,191,45,8,88.9,4,5,80.0,1,2,50.0,0.0,1,1,1,0
7,2021-11-21,Sun,Matchweek 12,Away,L 1–2,Leeds United,Tottenham,N,"CM,FW",19,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,7,28.6,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,11,0,0.0,1,3,33.3,1,2,50.0,0.0,0,0,0,0
8,2021-11-27,Sat,Matchweek 13,Away,D 0–0,Leeds United,Brighton,N,FW,28,0,0,0,0,4,3,0,0,14,0,0,0,0.2,0.2,0.0,2,0,7,7,100.0,0,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,126,34,4,100.0,2,2,100.0,1,1,100.0,0.0,0,0,0,0
9,2021-11-30,Tue,Matchweek 14,Home,W 1–0,Leeds United,Crystal Palace,Y,FW,89,0,0,0,0,1,1,1,0,25,0,0,3,0.0,0.0,0.1,4,0,11,16,68.8,2,14,0,3,1,3,0,1,0,0,0,0,0,0,0,0,220,44,2,33.3,8,8,100.0,1,2,50.0,0.0,2,2,0,0
10,2021-12-05,Sun,Matchweek 15,Home,D 2–2,Leeds United,Brentford,Y,FW,90,1,0,0,0,5,3,1,0,51,1,3,2,0.8,0.8,0.0,0,0,27,36,75.0,1,33,2,4,3,0,0,0,0,0,0,0,0,0,0,0,361,51,20,95.2,6,9,66.7,1,3,33.3,0.1,0,2,0,0
11,2021-12-11,Sat,Matchweek 16,Away,L 2–3,Leeds United,Chelsea,Y,"AM,RM",90,0,1,0,0,1,1,0,0,28,3,0,0,0.1,0.1,0.2,3,1,12,19,63.2,0,16,0,3,1,2,0,0,1,0,1,0,0,0,0,0,120,42,9,81.8,2,2,100.0,0,2,0.0,0.3,1,0,1,1
12,2021-12-14,Tue,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,Y,AM,90,0,0,0,0,1,1,0,0,35,2,1,1,0.1,0.1,0.0,3,0,21,24,87.5,1,16,3,2,2,2,0,0,1,0,0,0,0,0,0,0,275,50,12,92.3,5,6,83.3,1,1,100.0,0.0,0,1,0,0
13,2021-12-18,Sat,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,AM,90,0,0,0,0,4,1,0,0,41,0,0,0,0.2,0.2,0.0,2,0,21,28,75.0,4,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,255,86,11,78.6,5,7,71.4,1,2,50.0,0.0,0,3,1,0
