,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2023-01-12,Thu,Matchweek 7,Away,L 1–2,Chelsea,Fulham,Y,FW,57,3,1,0,1,0,1,0,0,0,0,0,0,0,0,Match Report
2,2023-02-11,Sat,Matchweek 23,Away,D 1–1,Chelsea,West Ham,Y,AM,90,4,0,2,0,1,1,0,0,0,0,0,0,0,0,Match Report
3,2023-02-18,Sat,Matchweek 24,Home,L 0–1,Chelsea,Southampton,Y,"AM,FW",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
4,2023-02-26,Sun,Matchweek 25,Away,L 0–2,Chelsea,Tottenham,Y,"AM,LW",82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
5,2023-03-04,Sat,Matchweek 26,Home,W 1–0,Chelsea,Leeds United,Y,LW,67,4,3,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
6,2023-03-11,Sat,Matchweek 27,Away,W 3–1,Chelsea,Leicester City,Y,LW,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
7,2023-03-18,Sat,Matchweek 28,Home,D 2–2,Chelsea,Everton,Y,FW,85,3,1,0,0,1,1,0,1,1,0,0,0,0,0,Match Report
8,2023-04-01,Sat,Matchweek 29,Home,L 0–2,Chelsea,Aston Villa,Y,"FW,AM",90,5,3,0,2,0,0,0,0,0,0,0,0,0,0,Match Report
9,2023-04-04,Tue,Matchweek 8,Home,D 0–0,Chelsea,Liverpool,Y,FW,84,5,2,0,2,0,1,0,0,0,0,0,0,0,0,Match Report
10,2023-04-08,Sat,Matchweek 30,Away,L 0–1,Chelsea,Wolves,Y,"LW,FW",67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
11,2023-04-15,Sat,Matchweek 31,Home,L 1–2,Chelsea,Brighton,N,FW,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
12,2023-04-26,Wed,Matchweek 33,Home,L 0–2,Chelsea,Brentford,N,AM,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
13,2023-05-02,Tue,Matchweek 34,Away,L 1–3,Chelsea,Arsenal,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
14,2023-05-06,Sat,Matchweek 35,Away,W 3–1,Chelsea,Bournemouth,N,FW,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
15,2023-05-13,Sat,Matchweek 36,Home,D 2–2,Chelsea,Nott'ham Forest,Y,FW,72,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
17,2023-05-25,Thu,Matchweek 32,Away,L 1–4,Chelsea,Manchester Utd,N,"FW,AM",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
18,2023-05-28,Sun,Matchweek 38,Home,D 1–1,Chelsea,Newcastle Utd,N,FW,32,3,0,0,1,1,1,0,0,0,0,0,0,0,0,Match Report
