,url_id,tag,key,first_name,second_name,id,full_name,keep
0,21a66f6a,Harry-Kane,0,Harry,Kane,388,Harry Kane,True
1,3bb7b8b4,Ederson,0,Ederson,Santana de Moraes,278,Ederson Santana de Moraes,True
2,5f09991f,Patrick-van-Aanholt,0,Patrick,van Aanholt,139,Patrick van Aanholt,True
3,f586779e,Tammy-Abraham,0,Tammy,Abraham,118,Tammy Abraham,True
4,f2bf1b0f,Che-Adams,0,Che,Adams,377,Che Adams,True
5,c81d773d,Tosin-Adarabioyo,0,Tosin,Adarabioyo,572,Tosin Adarabioyo,True
6,246d153b,Ola-Aina,0,Ola,Aina,562,Ola Aina,True
7,9b398aea,Rayan-Ait-Nouri,0,Rayan,Ait Nouri,563,Rayan Ait Nouri,True
8,b827d5b3,Marc-Albrighton,0,Marc,Albrighton,221,Marc Albrighton,True
9,f7d50789,Toby-Alderweireld,0,Toby,Alderweireld,386,Toby Alderweireld,True
10,cd1acf9d,Trent-Alexander-Arnold,0,Trent,Alexander-Arnold,259,Trent Alexander-Arnold,True
11,1a7fcf39,Ezgjan-Alioski,0,Ezgjan,Alioski,201,Ezgjan Alioski,True
12,7a2e46a8,Alisson,0,Alisson,Ramses Becker,252,Alisson Ramses Becker,True
13,cc700722,Allan,0,Allan,Marques Loureiro,502,Allan Marques Loureiro,True
14,f4290206,Marcos-Alonso,0,Marcos,Alonso,104,Marcos Alonso,True
15,ad1f61f3,Steven-Alzate,0,Steven,Alzate,79,Steven Alzate,True
16,1a4ef233,Daniel-Amartey,0,Daniel,Amartey,227,Daniel Amartey,True
17,10b9fa99,Ethan-Ampadu,0,Ethan,Ampadu,509,Ethan Ampadu,True
18,e34fc66d,Joachim-Andersen,0,Joachim,Andersen,571,Joachim Andersen,True
19,de31038e,Elliot-Anderson,0,Elliot,Anderson,602,Elliot Anderson,True
20,9f1893b9,Felipe-Anderson,0,Felipe Anderson,Pereira Gomes,440,Felipe Anderson Pereira Gomes,True
21,ac05f970,Michail-Antonio,0,Michail,Antonio,437,Michail Antonio,True
22,2f965a72,Alphonse-Areola,0,Alphonse,Areola,516,Alphonse Areola,True
23,97333cf5,Stuart-Armstrong,0,Stuart,Armstrong,368,Stuart Armstrong,True
24,28d596a0,Kepa-Arrizabalaga,0,Kepa,Arrizabalaga,112,Kepa Arrizabalaga,True
25,d5dd5f1f,Pierre-Emerick-Aubameyang,0,Pierre-Emerick,Aubameyang,4,Pierre-Emerick Aubameyang,True
26,5c2b4f07,Serge-Aurier,0,Serge,Aurier,389,Serge Aurier,True
27,8d228291,Charlie-Austin,0,Charlie,Austin,415,Charlie Austin,True
28,da052c14,Jordan-Ayew,0,Jordan,Ayew,140,Jordan Ayew,True
29,420d7c7d,Luke-Ayling,0,Luke,Ayling,197,Luke Ayling,True
30,a1232f4e,Eric-Bailly,0,Eric,Bailly,310,Eric Bailly,True
31,394854c4,George-Baldock,0,George,Baldock,351,George Baldock,True
32,a58bb1e1,Gareth-Bale,0,Gareth,Bale,543,Gareth Bale,True
33,93feac6e,Patrick-Bamford,0,Patrick,Bamford,202,Patrick Bamford,True
34,1ae30132,Phil-Bardsley,0,Phil,Bardsley,82,Phil Bardsley,True
35,3a24769f,Ross-Barkley,0,Ross,Barkley,106,Ross Barkley,True
36,2691c772,Ashley-Barnes,0,Ashley,Barnes,87,Ashley Barnes,True
37,3ea50f67,Harvey-Barnes,0,Harvey,Barnes,235,Harvey Barnes,True
38,18e96f64,Kyle-Bartley,0,Kyle,Bartley,412,Kyle Bartley,True
39,1aa84968,Chris-Basham,0,Chris,Basham,345,Chris Basham,True
40,2973d8ff,Michy-Batshuayi,0,Michy,Batshuayi,108,Michy Batshuayi,True
41,4115ce4e,Jan-Bednarek,0,Jan,Bednarek,376,Jan Bednarek,True
42,50dc94ce,Donny-van-de-Beek,0,Donny,van de Beek,495,Donny van de Beek,True
43,bf3aeb61,Josh-Benson,0,Josh,Benson,535,Josh Benson,True
44,ab070c55,Christian-Benteke,0,Christian,Benteke,132,Christian Benteke,True
45,5348aada,Gaetano-Berardi,0,Gaetano,Berardi,685,Gaetano Berardi,True
46,f72293fc,Johann-Berg-Gudmundsson,0,Johann Berg,Gudmundsson,90,Johann Berg Gudmundsson,True
47,d0b6129f,Sander-Berge,0,Sander,Berge,360,Sander Berge,True
48,a29b1131,Steven-Bergwijn,0,Steven,Bergwijn,400,Steven Bergwijn,True
49,ab4b3e35,Bernard,0,Bernard,Anício Caldeira Duarte,154,Bernard Anício Caldeira Duarte,True
50,17370b95,Bernardo,0,Bernardo,Fernandes da Silva Junior,75,Bernardo Fernandes da Silva Junior,True
51,01226327,Ryan-Bertrand,0,Ryan,Bertrand,362,Ryan Bertrand,True
52,6c203af0,Yves-Bissouma,0,Yves,Bissouma,76,Yves Bissouma,True
53,ae5019e6,Jayden-Bogle,0,Jayden,Bogle,510,Jayden Bogle,True
54,a4ac4b8f,Willy-Boly,0,Willy,Boly,458,Willy Boly,True
55,79c84d1c,Jarrod-Bowen,0,Jarrod,Bowen,445,Jarrod Bowen,True
56,96bb8cc2,Robbie-Brady,0,Robbie,Brady,95,Robbie Brady,True
57,30e81a88,Rhian-Brewster,0,Rhian,Brewster,262,Rhian Brewster,True
